호선,역번호,역      명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
4,416,미아사거리,428072,370876,446198,454703,470960,428687,446699,429614,416661,463196,456788,468202
4,417,길음,337769,288912,407086,409284,419321,356805,343576,322479,363907,397091,387965,373462
4,418,성신여대입구,341001,299420,395221,390527,406634,354765,350803,340664,358427,385485,377739,377355
4,419,한성대입구,258045,221959,310885,315386,333734,281505,263968,250912,280488,315698,300729,290399
4,420,혜화,840246,698763,849256,832147,911435,825658,844327,837586,782547,886522,891837,953263
4,421,동대문(4),408449,342610,423497,417135,440367,400148,426767,391319,363957,434856,408332,422842
4,422,동대문역사문화공원(4),192019,171733,210852,200553,215359,198611,205011,205620,181703,212780,202204,210598
4,423,충무로(4),472862,392752,523721,546696,540741,481109,481737,450904,477488,539126,531545,510472
4,424,명동,734774,674112,879738,859989,833433,789461,753127,772254,753122,868064,819372,871693
4,425,회현,616624,522735,670648,681656,700669,636323,649036,607211,571518,690918,645724,648979
4,426,서울역(4),379777,340644,391366,396966,406244,377942,399451,397222,369004,420798,418116,427885
4,427,숙대입구,263359,217748,312912,312022,313323,279609,266113,251356,276377,302857,297654,287757
4,428,삼각지(4),91413,75836,90964,93054,92236,87851,90165,85774,83160,95065,94762,97204
4,429,신용산,307187,261215,302454,304495,315818,290535,321522,300046,280543,318450,316470,325841
4,430,이촌,214089,187618,199068,210082,234592,205935,213190,219056,195440,241562,205867,223395
4,431,동작,47415,41539,51790,67847,70364,70369,53200,49868,53808,63678,52322,48670
4,432,이수(총신대입구),537911,454537,546136,549501,553769,510676,537462,507249,489415,548320,536062,549305
4,433,사당(4),405672,345335,436408,436131,443242,414456,405218,392004,389512,436327,428577,452035
4,434,남태령,24928,20197,28067,27845,28649,24908,26141,25164,25082,27459,27749,26787
5,2511,방화,98936,84723,105282,104989,107004,98339,102566,96377,95034,108207,105624,103974
5,2512,개화산,84030,71373,86462,87338,88553,80164,83795,78539,76372,86328,83384,83814
5,2513,김포공항(5),49533,44749,52066,51557,54846,51821,53381,54570,58504,111200,91648,93750
5,2514,송정,97864,85324,105956,104907,108319,97822,97919,93433,94816,90507,85406,83349
5,2515,마곡,78268,63746,81523,82615,83856,75835,80733,74103,74317,84203,83961,85892
5,2516,발산,225644,199382,256880,263857,268324,249498,251721,242363,237475,288085,282458,281369
5,2517,우장산,211702,178486,229945,231968,235024,210750,213335,202536,203089,228405,222743,221638
5,2518,화곡,401552,345521,422398,423620,433256,395165,409101,385970,378968,423720,415258,420313
5,2519,까치산(5),499285,427740,510580,515662,522754,479475,495666,473604,464578,515951,505545,513834
5,2520,신정,166698,142021,173738,143728,145665,130962,136029,127480,126312,152491,159968,163851
5,2521,목동,304292,256304,322666,345596,349393,314059,326612,306689,306518,335277,322937,319423
5,2522,오목교,410846,346965,422151,427738,432917,395419,417123,401247,389851,433712,438807,440875
5,2523,양평(5),101164,83133,99275,102387,100691,92505,100533,93294,89475,100323,100234,103814
5,2524,영등포구청(5),21546,18231,21619,22297,22504,20644,21921,20411,20032,23866,23871,24640
5,2525,영등포시장,128642,110245,134718,131965,135173,127449,130967,123621,119982,139849,136609,141486
5,2526,신길(5),44387,36542,44594,45326,45623,42476,44240,43413,40959,47849,47315,49948
5,2527,여의도(5),375722,301210,365519,439988,393966,357914,401973,368426,356687,413707,405951,397153
5,2528,여의나루,123899,119027,180543,419544,395754,242232,216955,265585,269309,363708,173004,144289
5,2529,마포,274129,225569,268072,276498,276060,252873,275522,257384,245347,280825,276420,287088
5,2530,공덕(5),217580,179010,218848,229354,227285,207673,227575,209727,202089,229955,229854,233195
5,2531,애오개,125567,104169,129039,131505,131030,121206,128856,120106,116993,128187,127124,128539
5,2532,충정로(5),57868,47313,62142,65055,64218,57686,61137,55961,57789,63561,63158,67507
5,2533,서대문,297608,244534,314643,325185,330207,299584,317806,298761,296448,337059,331437,330841
5,2534,광화문,570839,468561,563983,561986,565922,513232,567437,570759,514296,679960,601525,660048
5,2535,종로3가(5),219353,190686,205704,194446,208963,186909,197004,196670,173703,213415,193279,212542
5,2536,을지로4가(5),43050,35383,42472,40118,41865,40330,41612,39963,38375,46880,46004,46882
5,2537,동대문역사문화공원(5),39143,31524,37907,39873,39799,36599,41177,38334,35520,39302,39666,41766
